,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015,Alta Floresta D'Oeste,11,RO,466.87745358090183,493.412213740458,504.9984732824427,503.0,555.7760814249364
1,1100023,Ariquemes,11,RO,463.5428449014567,489.96033320111064,506.99980166600557,498.9710368466152,524.1491471638238
2,1100031,Cabixi,11,RO,454.453125,474.15223880597017,486.2238805970149,497.44375,492.8358208955224
3,1100049,Cacoal,11,RO,469.1656569343065,494.664063035286,510.18513189448436,510.68463503649633,538.6570743405276
4,1100056,Cerejeiras,11,RO,468.3811643835616,488.45653594771244,507.60490196078433,505.1756849315068,552.2222222222222
5,1100064,Colorado do Oeste,11,RO,468.0423357664234,495.37243816254414,506.3374558303887,506.05000000000007,533.2862190812721
6,1100072,Corumbiara,11,RO,465.9741379310345,478.875,486.46875,487.54137931034484,526.25
7,1100080,Costa Marques,11,RO,430.95493827160493,458.5977900552486,477.5889502762431,467.35925925925926,456.7955801104972
8,1100098,Espigão D'Oeste,11,RO,465.1776714513557,496.6498502994012,503.5115269461078,507.858692185008,533.1736526946107
9,1100106,Guajará-Mirim,11,RO,438.7718918918919,465.40712933753946,486.31343848580445,466.37547297297294,466.3470031545741
10,1100114,Jaru,11,RO,452.87484076433117,481.7564278704612,501.1434739941119,487.5970276008493,512.4043179587832
11,1100122,Ji-Paraná,11,RO,462.96981246218996,488.67775268210056,506.02168266516094,502.06212946158496,532.0158102766799
12,1100130,Machadinho D'Oeste,11,RO,460.3831134564644,480.54364508393286,494.71007194244606,490.6870712401055,516.3069544364508
13,1100148,Nova Brasilândia D'Oeste,11,RO,455.24029304029307,482.67602739726027,497.89589041095894,502.4571428571428,530.8904109589041
14,1100155,Ouro Preto do Oeste,11,RO,458.00321100917427,485.89729729729726,501.27624466571837,494.2461773700306,518.9758179231864
15,1100189,Pimenta Bueno,11,RO,457.8337579617834,482.8216881594373,503.86447831184057,500.30267515923566,527.2684642438453
16,1100205,Porto Velho,11,RO,460.0611754437009,490.061271113036,506.01150931139017,494.0952400349141,532.4058033780858
17,1100254,Presidente Médici,11,RO,460.5406976744186,488.11700182815355,501.5241316270567,493.06298449612405,527.6051188299817
18,1100262,Rio Crespo,11,RO,445.5914893617021,470.32,489.63199999999995,475.1595744680851,494.0
19,1100288,Rolim de Moura,11,RO,462.8783765347885,489.1703254626675,506.47683471601783,494.1606412005457,513.694958519464
20,1100296,Santa Luzia D'Oeste,11,RO,456.02585034013606,491.82179487179485,501.5339743589744,488.56802721088434,534.4871794871794
21,1100304,Vilhena,11,RO,469.70720490546756,497.34585296889725,514.5012252591895,506.7741951967297,519.971724787936
22,1100320,São Miguel do Guaporé,11,RO,451.34480712166174,475.17940379403797,492.0490514905149,487.9875370919881,517.7235772357724
23,1100338,Nova Mamoré,11,RO,433.8276543209877,464.8418390804598,482.05310344827586,468.5133333333333,467.67816091954023
24,1100346,Alvorada D'Oeste,11,RO,450.76311475409835,476.8578358208955,499.7287313432835,486.7229508196721,516.044776119403
25,1100379,Alto Alegre dos Parecis,11,RO,448.570987654321,487.0236994219654,493.6271676300578,481.74444444444447,509.2485549132948
26,1100403,Alto Paraíso,11,RO,446.8445945945946,478.1047904191617,496.54730538922155,490.5290540540541,504.9101796407186
27,1100452,Buritis,11,RO,448.2081677704194,476.83822314049587,496.05454545454546,482.2690949227373,490.8677685950413
28,1100502,Novo Horizonte do Oeste,11,RO,460.26907894736837,479.5585987261146,499.03821656050957,506.1177631578947,520.0
29,1100601,Cacaulândia,11,RO,456.356338028169,480.940506329114,498.1569620253165,479.52394366197177,525.0632911392405
30,1100700,Campo Novo de Rondônia,11,RO,445.86761904761903,466.8412844036697,487.46422018348625,485.0723809523809,548.9908256880734
31,1100809,Candeias do Jamari,11,RO,453.358429561201,477.6929787234043,495.0772340425532,482.980831408776,509.5744680851064
32,1100908,Castanheiras,11,RO,423.3056603773585,472.27037037037036,480.02592592592595,465.266037735849,505.18518518518516
33,1100924,Chupinguaia,11,RO,433.8349206349206,463.02058823529416,481.0970588235294,463.3269841269841,445.88235294117646
34,1100940,Cujubim,11,RO,430.251497005988,461.3857954545454,483.58352272727274,481.4520958083832,492.3863636363636
35,1101005,Governador Jorge Teixeira,11,RO,433.9953125,463.57142857142856,483.26842105263154,475.346875,485.7142857142857
36,1101104,Itapuã do Oeste,11,RO,444.29999999999995,470.23867403314915,485.47569060773486,473.55889570552154,453.4806629834254
37,1101203,Ministro Andreazza,11,RO,455.8574074074074,478.15892857142853,487.447619047619,492.51481481481477,544.5238095238095
38,1101302,Mirante da Serra,11,RO,451.37136363636364,481.1699152542373,499.23474576271184,487.93545454545455,522.542372881356
39,1101401,Monte Negro,11,RO,439.1738219895288,476.50300000000004,489.418,478.7230366492147,502.1
40,1101435,Nova União,11,RO,450.30909090909086,483.9269662921348,502.12471910112356,487.53977272727275,548.7640449438202
41,1101450,Parecis,11,RO,466.04693877551017,486.694,496.56199999999995,485.18163265306123,565.6
42,1101468,Pimenteiras do Oeste,11,RO,437.44090909090914,441.328,467.50800000000004,484.34090909090907,453.6
43,1101476,Primavera de Rondônia,11,RO,452.1098901098901,465.3686868686869,491.61818181818177,482.8263736263736,531.5151515151515
44,1101484,São Felipe D'Oeste,11,RO,460.5961038961039,483.316049382716,500.541975308642,505.4428571428571,590.1234567901234
45,1101492,São Francisco do Guaporé,11,RO,445.875,470.76126760563386,492.5169014084507,484.1795454545454,524.8591549295775
46,1101500,Seringueiras,11,RO,445.43646408839777,468.61675126903555,482.48426395939083,489.4093922651934,497.25888324873097
47,1101559,Teixeirópolis,11,RO,457.58395061728396,459.91888888888883,490.96666666666664,471.3839506172839,505.77777777777777
48,1101609,Theobroma,11,RO,458.175,486.08125,494.53374999999994,484.04210526315785,491.25
49,1101708,Urupá,11,RO,452.74629629629624,493.04082840236686,504.8644970414202,494.6796296296297,564.0236686390532
50,1101757,Vale do Anari,11,RO,448.012,469.4901234567901,492.61481481481485,475.688,521.2345679012345
51,1101807,Vale do Paraíso,11,RO,452.5053097345133,472.26120689655176,494.50689655172414,483.28849557522125,534.4827586206897
52,1200013,Acrelândia,12,AC,441.0530701754386,469.66265560165976,486.45892116182574,476.16315789473686,503.56846473029043
53,1200054,Assis Brasil,12,AC,434.52777777777777,462.22658227848103,494.3949367088607,484.12777777777774,490.88607594936707
54,1200104,Brasiléia,12,AC,445.66134185303514,485.85633802816903,507.3552112676056,486.23482428115017,520.9014084507043
55,1200138,Bujari,12,AC,430.7762114537445,466.73132530120483,481.8947791164659,465.9537444933921,486.82730923694777
56,1200179,Capixaba,12,AC,436.356050955414,467.4976608187135,487.453216374269,473.04458598726114,552.514619883041
57,1200203,Cruzeiro do Sul,12,AC,443.8751089166425,474.75897505422995,493.8593004338395,477.66279407493465,538.763557483731
58,1200252,Epitaciolândia,12,AC,454.89517543859654,486.6426829268293,507.3077235772358,479.5991228070176,520.9756097560976
59,1200302,Feijó,12,AC,434.8470720720721,472.5363449691992,488.8921971252567,477.0837837837838,512.8131416837782
60,1200328,Jordão,12,AC,426.46315789473687,463.94,470.8541176470588,462.9078947368421,476.47058823529414
61,1200336,Mâncio Lima,12,AC,433.0966067864271,459.43246753246757,475.4801484230055,464.49001996007985,541.113172541744
62,1200344,Manoel Urbano,12,AC,437.65294117647056,467.373786407767,490.0640776699029,476.73039215686276,540.7766990291262
63,1200351,Marechal Thaumaturgo,12,AC,423.76013513513516,452.16987951807226,464.4578313253012,443.8317567567568,459.03614457831327
64,1200385,Plácido de Castro,12,AC,436.51329113924055,461.2704678362573,483.20438596491226,476.77721518987346,507.2514619883041
65,1200393,Porto Walter,12,AC,423.4045454545455,471.71029411764704,480.1426470588235,473.630303030303,571.7647058823529
66,1200401,Rio Branco,12,AC,456.4353249187014,486.03972456006125,505.0953481254782,486.1704293666979,537.3802601377199
67,1200427,Rodrigues Alves,12,AC,433.3455026455027,460.9621212121212,479.93030303030304,473.35661375661374,543.939393939394
68,1200435,Santa Rosa do Purus,12,AC,442.21578947368425,505.06842105263155,505.56842105263155,481.178947368421,544.2105263157895
69,1200450,Senador Guiomard,12,AC,443.7091370558375,470.1336939721793,493.303400309119,478.6771573604061,514.7758887171561
70,1200500,Sena Madureira,12,AC,440.95136540962284,465.79318996415776,486.04934289127834,470.0611183355006,500.86021505376345
71,1200609,Tarauacá,12,AC,432.63897763578274,463.4631039531479,482.0244509516838,463.10047923322685,507.0278184480234
72,1200708,Xapuri,12,AC,472.5404958677686,482.78698884758364,501.7933085501858,497.7723140495867,553.5315985130112
73,1200807,Porto Acre,12,AC,439.016724738676,469.96977491961417,484.7308681672025,462.5080139372822,489.3247588424437
74,1300029,Alvarães,13,AM,436.4107843137255,457.7607476635514,473.3233644859813,457.8421568627451,493.6448598130841
75,1300060,Amaturá,13,AM,408.3254237288136,432.7248062015504,444.4968992248062,433.6245762711864,390.07751937984494
76,1300086,Anamã,13,AM,418.2571428571428,465.7387755102041,486.37823129251706,451.3308270676692,464.6258503401361
77,1300102,Anori,13,AM,432.9824074074074,459.0803418803419,477.1794871794872,469.72962962962964,493.5042735042735
78,1300144,Apuí,13,AM,448.6414965986395,474.93503184713376,486.5394904458598,479.79523809523806,463.18471337579615
79,1300201,Atalaia do Norte,13,AM,415.30447761194034,439.3768292682927,452.00853658536585,451.4820895522388,438.2926829268293
80,1300300,Autazes,13,AM,428.6859574468085,452.4314741035857,474.09282868525895,458.7855319148936,480.7171314741036
81,1300409,Barcelos,13,AM,452.4138686131387,479.59,499.7406666666667,490.13138686131384,502.53333333333336
82,1300508,Barreirinha,13,AM,424.3180467091295,452.0466796875,464.6349609375,447.2341825902335,467.578125
83,1300607,Benjamin Constant,13,AM,412.5391575663026,430.5549857549857,433.20199430199426,438.09375975039,329.8860398860399
84,1300631,Beruri,13,AM,417.5133333333333,441.06854838709677,464.2024193548387,460.93333333333334,444.35483870967744
85,1300680,Boa Vista do Ramos,13,AM,418.8989743589744,448.9900900900901,465.60855855855857,442.0635897435897,445.5855855855856
86,1300706,Boca do Acre,13,AM,430.65779569892476,458.4113350125944,486.1874055415617,473.26478494623655,528.1108312342569
87,1300805,Borba,13,AM,422.2936507936508,448.3894736842105,466.2334928229665,456.65820105820103,449.4736842105263
88,1300839,Caapiranga,13,AM,430.8972972972973,442.0615384615385,468.97820512820516,459.69594594594594,469.7435897435897
89,1300904,Canutama,13,AM,438.23962264150947,462.76071428571424,476.0214285714286,458.6339622641509,445.35714285714283
90,1301001,Carauari,13,AM,428.2243243243243,448.8229268292683,467.75560975609756,460.1556756756757,460.2926829268293
91,1301100,Careiro,13,AM,424.5865284974093,446.38365384615383,473.9639423076923,451.32746113989634,458.84615384615387
92,1301159,Careiro da Várzea,13,AM,436.4251968503937,467.4921428571429,485.0557142857143,461.90000000000003,502.42857142857144
93,1301209,Coari,13,AM,433.7818181818182,454.7537872991583,474.73687834736035,455.23435237329045,499.6327467482785
94,1301308,Codajás,13,AM,430.8284974093264,452.37635467980294,475.1876847290641,467.4134715025907,487.0935960591133
95,1301407,Eirunepé,13,AM,442.18402777777777,469.91035598705497,486.9436893203884,478.5836805555556,519.6763754045307
